id_pedido,data,categoria,preco_unitario,quantidade,regiao,forma_pagamento,valor_total
503,2024-01-01,Eletrônicos,1165.8,1,Sul,Cartão de Crédito,1165.8
2969,2024-01-01,Eletrônicos,3111.94,2,Centro-Oeste,Cartão de Crédito,6223.88
3726,2024-01-01,Moda,204.63,1,Sudeste,Cartão de Crédito,204.63
2548,2024-01-01,Eletrônicos,2420.09,1,Sudeste,Boleto,2420.09
515,2024-01-01,Esporte e Lazer,43.87,3,Sul,Cartão de Crédito,131.61
4962,2024-01-01,Moda,109.42,2,Sudeste,Cartão de Débito,218.84
2805,2024-01-01,Eletrônicos,2098.27,3,Nordeste,Pix,6294.81
3049,2024-01-01,Esporte e Lazer,261.95,4,Norte,Cartão de Crédito,1047.8
300,2024-01-01,Beleza,149.15,4,Sudeste,Cartão de Débito,596.6
52,2024-01-02,Livros,23.72,1,Sudeste,Cartão de Crédito,23.72
3656,2024-01-02,Livros,24.43,2,Centro-Oeste,Cartão de Crédito,48.86
2443,2024-01-02,Esporte e Lazer,53.78,3,Nordeste,Pix,161.34
2275,2024-01-02,Beleza,52.79,4,Sudeste,Cartão de Crédito,211.16
377,2024-01-02,Moda,130.06,2,Nordeste,Cartão de Crédito,260.12
2136,2024-01-02,Esporte e Lazer,251.08,1,Sudeste,Pix,251.08
3320,2024-01-03,Casa e Decoração,308.14,1,Sudeste,Cartão de Crédito,308.14
125,2024-01-03,Esporte e Lazer,182.94,3,Sudeste,Cartão de Crédito,548.82
3692,2024-01-03,Livros,29.96,2,Sudeste,Pix,59.92
201,2024-01-03,Esporte e Lazer,157.34,2,Sudeste,Cartão de Crédito,314.68
67,2024-01-03,Eletrônicos,2734.6,2,Sudeste,Cartão de Crédito,5469.2
1678,2024-01-04,Casa e Decoração,259.36,2,Sul,Cartão de Débito,518.72
155,2024-01-04,Livros,57.25,1,Sudeste,Pix,57.25
598,2024-01-05,Moda,101.32,2,Nordeste,Pix,202.64
3896,2024-01-05,Eletrônicos,2673.92,2,Sudeste,Cartão de Crédito,5347.84
4495,2024-01-05,Beleza,24.42,2,Nordeste,Pix,48.84
2646,2024-01-05,Beleza,205.3,1,Nordeste,Cartão de Crédito,205.3
2753,2024-01-05,Casa e Decoração,649.56,1,Nordeste,Cartão de Crédito,649.56
617,2024-01-06,Esporte e Lazer,252.38,3,Nordeste,Cartão de Crédito,757.14
42,2024-01-07,Livros,25.04,3,Centro-Oeste,Cartão de Crédito,75.12
656,2024-01-07,Livros,46.79,3,Norte,Cartão de Crédito,140.37
1953,2024-01-07,Moda,297.7,2,Sul,Cartão de Débito,595.4
2727,2024-01-07,Casa e Decoração,125.99,3,Sudeste,Cartão de Crédito,377.97
3329,2024-01-07,Eletrônicos,244.0,2,Sudeste,Cartão de Crédito,488.0
1833,2024-01-07,Beleza,17.08,2,Sudeste,Cartão de Crédito,34.16
4132,2024-01-07,Esporte e Lazer,462.22,3,Sul,Cartão de Crédito,1386.66
3146,2024-01-08,Eletrônicos,1916.04,3,Sudeste,Pix,5748.12
4993,2024-01-08,Esporte e Lazer,172.61,2,Sudeste,Cartão de Crédito,345.22
3618,2024-01-08,Livros,32.97,2,Sudeste,Cartão de Crédito,65.94
375,2024-01-08,Casa e Decoração,279.24,4,Sudeste,Boleto,1116.96
3427,2024-01-08,Casa e Decoração,590.98,2,Norte,Cartão de Débito,1181.96
3937,2024-01-08,Casa e Decoração,320.56,1,Sul,Cartão de Crédito,320.56
1193,2024-01-08,Moda,45.13,1,Centro-Oeste,Cartão de Crédito,45.13
2434,2024-01-09,Livros,56.66,2,Sul,Cartão de Crédito,113.32
2992,2024-01-09,Eletrônicos,1865.4,1,Nordeste,Cartão de Crédito,1865.4
905,2024-01-09,Esporte e Lazer,51.39,1,Sudeste,Boleto,51.39
108,2024-01-10,Casa e Decoração,484.19,1,Sudeste,Cartão de Crédito,484.19
4724,2024-01-10,Beleza,80.1,2,Norte,Cartão de Crédito,160.2
3881,2024-01-10,Esporte e Lazer,37.1,2,Sudeste,Pix,74.2
893,2024-01-10,Livros,62.52,4,Nordeste,Pix,250.08
203,2024-01-10,Livros,28.06,2,Centro-Oeste,Pix,56.12
1136,2024-01-10,Esporte e Lazer,483.65,1,Sul,Cartão de Débito,483.65
3851,2024-01-10,Casa e Decoração,326.23,4,Sudeste,Pix,1304.92
4833,2024-01-11,Esporte e Lazer,369.33,1,Sudeste,Cartão de Crédito,369.33
110,2024-01-11,Casa e Decoração,474.64,1,Sudeste,Pix,474.64
3576,2024-01-11,Livros,61.04,1,Sudeste,Cartão de Crédito,61.04
3509,2024-01-11,Moda,279.55,2,Nordeste,Cartão de Crédito,559.1
1462,2024-01-12,Casa e Decoração,89.06,3,Sudeste,Cartão de Crédito,267.18
2459,2024-01-12,Casa e Decoração,102.69,2,Sudeste,Cartão de Crédito,205.38
519,2024-01-12,Beleza,30.48,1,Sudeste,Cartão de Crédito,30.48
3390,2024-01-12,Moda,225.86,1,Sul,Pix,225.86
3974,2024-01-12,Esporte e Lazer,72.6,1,Nordeste,Cartão de Débito,72.6
4550,2024-01-12,Casa e Decoração,331.62,4,Sul,Pix,1326.48
4442,2024-01-12,Casa e Decoração,168.3,2,Norte,Pix,336.6
164,2024-01-12,Eletrônicos,2592.06,4,Sul,Cartão de Crédito,10368.24
3000,2024-01-12,Beleza,82.17,1,Sudeste,Pix,82.17
3653,2024-01-12,Moda,245.28,1,Sudeste,Pix,245.28
4451,2024-01-12,Livros,24.14,2,Nordeste,Pix,48.28
1993,2024-01-13,Eletrônicos,1600.85,4,Nordeste,Cartão de Crédito,6403.4
388,2024-01-13,Esporte e Lazer,532.85,3,Sudeste,Cartão de Crédito,1598.55
4646,2024-01-13,Eletrônicos,241.61,1,Sudeste,Cartão de Crédito,241.61
217,2024-01-13,Livros,83.41,1,Sudeste,Cartão de Crédito,83.41
1640,2024-01-13,Eletrônicos,463.77,1,Norte,Pix,463.77
3054,2024-01-13,Beleza,34.9,1,Sul,Cartão de Crédito,34.9
1710,2024-01-13,Moda,251.44,3,Sul,Cartão de Crédito,754.32
128,2024-01-14,Casa e Decoração,243.96,2,Nordeste,Cartão de Crédito,487.92
1956,2024-01-14,Esporte e Lazer,72.82,1,Nordeste,Pix,72.82
348,2024-01-14,Livros,43.97,1,Sudeste,Cartão de Crédito,43.97
1476,2024-01-14,Esporte e Lazer,225.29,2,Sudeste,Pix,450.58
3759,2024-01-14,Esporte e Lazer,80.03,1,Sudeste,Cartão de Crédito,80.03
4871,2024-01-15,Casa e Decoração,216.86,3,Sudeste,Cartão de Crédito,650.58
574,2024-01-15,Moda,112.39,1,Norte,Pix,112.39
4000,2024-01-15,Eletrônicos,517.7,1,Nordeste,Pix,517.7
343,2024-01-15,Moda,240.52,2,Sudeste,Cartão de Crédito,481.04
570,2024-01-15,Moda,134.27,3,Nordeste,Cartão de Crédito,402.81
4728,2024-01-16,Moda,192.85,3,Sudeste,Cartão de Crédito,578.55
3801,2024-01-16,Eletrônicos,2397.97,1,Sudeste,Cartão de Crédito,2397.97
3732,2024-01-16,Livros,72.58,3,Sudeste,Cartão de Crédito,217.74
41,2024-01-16,Esporte e Lazer,303.56,1,Sudeste,Pix,303.56
3464,2024-01-16,Eletrônicos,2636.34,2,Nordeste,Boleto,5272.68
2993,2024-01-17,Beleza,28.91,1,Sul,Pix,28.91
2971,2024-01-17,Esporte e Lazer,203.49,2,Sudeste,Pix,406.98
4730,2024-01-17,Beleza,173.67,4,Nordeste,Cartão de Crédito,694.68
2591,2024-01-17,Casa e Decoração,107.32,1,Nordeste,Cartão de Crédito,107.32
4409,2024-01-17,Casa e Decoração,83.33,1,Sudeste,Cartão de Crédito,83.33
2749,2024-01-17,Beleza,27.92,2,Sul,Cartão de Crédito,55.84
601,2024-01-17,Beleza,135.43,1,Sudeste,Pix,135.43
2574,2024-01-17,Casa e Decoração,282.2,2,Sudeste,Cartão de Crédito,564.4
812,2024-01-18,Beleza,188.67,1,Sudeste,Boleto,188.67
3841,2024-01-18,Esporte e Lazer,157.57,3,Nordeste,Pix,472.71
268,2024-01-19,Beleza,119.55,1,Sul,Pix,119.55
2974,2024-01-19,Casa e Decoração,298.96,2,Sudeste,Pix,597.92
2398,2024-01-19,Beleza,77.31,2,Sudeste,Cartão de Crédito,154.62
4281,2024-01-19,Esporte e Lazer,56.05,1,Sudeste,Pix,56.05
